accuracy,perf,pair_interaction_threshold_0,pair_interaction_decision_0,pair_interaction_decision_1,self_box_accumulate_threshold_0,self_box_accumulate_decision_0,self_box_accumulate_decision_1,neighbor_box_accumulate_threshold_0,neighbor_box_accumulate_decision_0,neighbor_box_accumulate_decision_1
0.8898008347677109,0.514617,112,0,0,5,0,0,0,0,0
0.8898008347677109,0.508798,109,0,0,4,0,0,1,0,0
0.8900962110048045,0.3195,0,1,1,4,0,0,14,0,0
0.8900962110048045,0.313167,0,1,1,41,1,0,8,0,0
0.8900962110048045,0.319142,149,1,1,41,0,0,14,0,1
0.8900962110048045,0.313748,0,1,1,41,0,0,2,0,0
0.8900962110048045,0.314355,0,1,1,100,0,0,10,0,0
0.8893062170561068,0.53903,44,0,1,18,0,0,0,0,1
0.8903255678415106,0.334731,76,1,0,1,0,1,0,0,0
0.8898008347677109,0.527441,0,1,0,0,0,0,0,0,0
0.8900962110048045,0.31516,0,1,1,40,0,0,14,0,0
0.8900962110048045,0.347986,0,1,1,97,0,0,22,0,0
0.8900962110048045,0.324415,0,1,1,41,0,0,16,0,0
0.8900962110048045,0.316189,0,1,1,25,0,0,14,0,0
0.8900962110048045,0.317019,0,1,1,41,0,1,14,0,0
0.8900962110048045,0.317636,0,1,1,41,0,0,9,0,0
0.8900962110048045,0.339189,0,0,1,41,0,0,14,0,0
0.8900962110048045,0.339189,0,0,1,41,0,0,14,0,0
0.8898008347677109,0.517176,123,0,0,5,0,0,1,0,0
0.8898008347677109,0.513565,7,0,0,20,0,1,5,0,0
0.8900962110048045,0.314196,7,1,1,4,0,0,0,0,1
0.8896546722363265,0.551125,22,0,1,12,0,0,4,0,0
0.8898008347677109,0.506488,111,0,0,2,0,0,1,0,0
0.8900962110048045,0.320575,0,1,1,16,0,0,14,0,0
0.8900962110048045,0.314497,1,1,1,73,0,0,14,0,0
0.8900962110048045,0.31482,1,1,1,70,0,0,14,0,0
0.8898008347677109,0.507448,115,0,0,3,0,0,1,0,0
0.8898008347677109,0.508982,0,0,0,41,0,0,14,0,0
0.8900962110048045,0.323278,0,1,1,0,0,0,14,0,0
0.8900962110048045,0.313279,0,1,1,41,0,0,14,1,0
